,,,,,,,,,,"(+) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 100 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.1 mM cys",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.8 mM NaCl",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 3.0 mM NaCl",,,,,
Auxilin-like clathrin uncoating factor SWA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWA2 PE=1 SV=1,SWA2 AUX1 BUD24 YDR320C D9798.10,Q06677,5.14,668,75019.9,0,0,Cytoplasm. Endoplasmic reticulum membrane; Peripheral membrane protein. ,clathrin binding; clathrin coat disassembly; endoplasmic reticulum inheritance; endoplasmic reticulum membrane; positive regulation of ATPase activity; ubiquitin binding,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,2.72E-05,4.71E-05,0.00E+00,0.00E+00,0.00E+00,6.69E-05,6.10E-05,0.00E+00,0.00E+00,0.00E+00,2.81E-05,2.43E-05,0.00E+00,
30 kDa heat shock protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP30 PE=1 SV=1,HSP30 YCR021C YCR21C,P25619,5.06,332,37044.77,0,0,Membrane; Multi-pass membrane protein. ,integral to membrane; ion channel activity; negative regulation of ATPase activity; plasma membrane; response to stress,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.16E-04,1.16E-04,5.27E-04,4.46E-05,2.20E-01,2.14E-04,1.02E-04,5.26E-04,1.03E-04,4.08E-01,2.16E-04,2.16E-04,3.95E-04,9.79E-05,5.47E-01,
ADP-ribosylation factor GTPase-activating protein GLO3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLO3 PE=1 SV=1,GLO3 YER122C,P38682,8.37,493,55093.57,0,0,Golgi apparatus. ,"ARF GTPase activator activity; COPI coating of Golgi vesicle; COPI vesicle coat; ER to Golgi vesicle-mediated transport; endoplasmic reticulum-Golgi intermediate compartment; protein transport; regulation of ARF GTPase activity; retrograde vesicle-mediated transport, Golgi to ER; zinc ion binding",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.60E-05,4.50E-05,0.00E+00,0.00E+00,---,1.45E-04,6.92E-05,1.12E-04,4.57E-06,1.30E+00,7.49E-05,7.33E-05,0.00E+00,0.00E+00,---,
Nitrogen permease reactivator protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPR1 PE=1 SV=2,NPR1 YNL183C N1631,P22211,8.61,790,85990.12,2,0,Cytoplasm. ,ATP binding; Golgi apparatus; negative regulation of endocytosis; plasma membrane; protein serine/threonine kinase activity; regulation of nitrogen utilization; regulation of transmembrane transporter activity,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,1.05E-04,5.90E-05,0.00E+00,0.00E+00,0.00E+00,4.56E-05,5.26E-05,0.00E+00,0.00E+00,0.00E+00,3.54E-05,3.50E-05,0.00E+00,
DNA-binding protein RAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAP1 PE=1 SV=2,RAP1 GRF1 TUF1 YNL216W N1310,P11938,4.83,827,92413.39,0,0,Nucleus. Chromosome â€º telomere. ,"DNA binding, bending; G-quadruplex DNA binding; RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity; TBP-class protein binding RNA polymerase II transcription factor activity; TFIID-class transcription factor binding; chromatin silencing at silent mating-type cassette; core promoter proximal region sequence-specific DNA binding; cytosol; establishment of chromatin silencing at telomere; establishment of protein localization to chromatin; establishment of protein localization to telomere; negative regulation of chromatin silencing; negative regulation of transcription from RNA polymerase II promoter; nuclear nucleosome; nuclear telomere cap complex; nucleosomal DNA binding; protection from non-homologous end joining at telomere; regulation of glycolysis by positive regulation of transcription from RNA polymerase II promoter; regulation of transcription by chromatin organization; telomere maintenance via telomere lengthening; telomeric DNA binding",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.09E-05,5.35E-05,1.09E-05,1.88E-05,2.84E+00,1.46E-05,2.53E-05,0.00E+00,0.00E+00,---,8.79E-05,4.17E-05,5.65E-05,7.09E-05,1.56E+00,
"Cytochrome b2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYB2 PE=1 SV=1",CYB2 YML054C YM9958.08C,P00175,6.18,591,56589.06,1,0,Mitochondrion intermembrane space. ,FMN binding; L-lactate dehydrogenase (cytochrome) activity; cytosol; electron transport chain; heme binding; lactate metabolic process; metal ion binding; mitochondrial inner membrane; mitochondrial intermembrane space; respiratory chain,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.08E-04,9.93E-05,1.54E-05,2.66E-05,7.04E+00,1.03E-04,9.38E-05,3.25E-05,5.62E-05,3.16E+00,8.10E-05,9.25E-05,0.00E+00,0.00E+00,---,
Mitochondrial import receptor subunit TOM6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM6 PE=1 SV=1,TOM6 ISP6 YOR045W,P33448,5.88,61,6407.5,0,0,Mitochondrion outer membrane; Single-pass membrane protein. ,integral to membrane; mitochondrial outer membrane translocase complex; mitochondrial outer membrane translocase complex assembly; protein import into mitochondrial matrix,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.09E-04,3.62E-04,1.51E-03,2.28E-04,1.39E-01,2.00E-04,3.47E-04,1.20E-03,5.06E-04,1.67E-01,0.00E+00,0.00E+00,1.57E-04,2.71E-04,0.00E+00,
Dynamin-related protein DNM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DNM1 PE=1 SV=1,DNM1 YLL001W L1381,P54861,5.35,757,84971.98,3,0,Mitochondrion outer membrane; Peripheral membrane protein; Cytoplasmic side. ,GTP binding; GTPase activity; chronological cell aging; mitochondrial fission; mitochondrial outer membrane; mitochondrion inheritance; peroxisome; peroxisome fission; protein homodimerization activity; protein homooligomerization,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,7.43E-05,7.59E-05,0.00E+00,0.00E+00,0.00E+00,9.78E-05,5.84E-05,0.00E+00,0.00E+00,0.00E+00,2.45E-05,2.13E-05,0.00E+00,
DNA-binding protein REB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REB1 PE=1 SV=2,REB1 GRF2 YBR049C YBR0502,P21538,4.96,810,91874.46,0,0,Nucleus. ,chromatin binding; nucleoplasm; regulation of transcription from RNA polymerase II promoter; sequence-specific DNA binding; termination of RNA polymerase I transcription,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.58E-05,2.74E-05,4.46E-05,3.86E-05,3.55E-01,3.01E-05,5.22E-05,1.12E-05,1.94E-05,2.70E+00,2.96E-05,2.56E-05,0.00E+00,0.00E+00,---,
Probable 26S protease subunit YTA6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YTA6 PE=1 SV=2,YTA6 YPL074W LPF11C,P40328,9.64,754,85300.16,0,0,0,ATP binding; ATPase activity; cell cortex,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.69E-05,2.93E-05,0.00E+00,0.00E+00,---,9.60E-05,4.98E-05,0.00E+00,0.00E+00,---,7.93E-05,9.88E-05,0.00E+00,0.00E+00,---,
Protein STB3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STB3 PE=1 SV=1,STB3 YDR169C YD9489.04c,Q12427,6.99,513,56264.16,0,0,Cytoplasm. ,cytoplasm; nucleus; positive regulation of transcription from RNA polymerase II promoter by glucose; sequence-specific DNA binding,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.83E-04,1.60E-04,0.00E+00,0.00E+00,---,1.84E-04,1.71E-04,0.00E+00,0.00E+00,---,2.37E-04,1.04E-04,0.00E+00,0.00E+00,---,
GTP cyclohydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FOL2 PE=1 SV=1,FOL2 YGR267C G9349,P51601,6.72,243,27769.05,3,"Cofactor biosynthesis; 7,8-dihydroneopterin triphosphate biosynthesis; 7,8-dihydroneopterin triphosphate from GTP: step 1/1. ",0,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process; GTP binding; GTP cyclohydrolase I activity; cytoplasm; folic acid biosynthetic process; folic acid-containing compound biosynthetic process; metal ion binding; nucleus; tetrahydrofolate biosynthetic process",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.32E-04,3.20E-04,7.48E-05,1.30E-04,7.11E+00,8.34E-04,2.12E-04,1.48E-04,1.28E-04,5.66E+00,5.92E-04,5.13E-04,1.91E-04,1.76E-04,3.09E+00,
Sm-like protein LSm1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM1 PE=1 SV=1,LSM1 SPB8 YJL124C J0714,P47017,5.72,172,20306.94,0,0,Nucleus. Cytoplasm. Cytoplasm â€º P-body. ,RNA cap binding; cytoplasmic mRNA processing body; deadenylation-dependent decapping of nuclear-transcribed mRNA; mRNA cap binding complex; mRNA processing; nucleus,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8.43E-04,4.57E-04,5.56E-05,9.64E-05,1.51E+01,1.46E-03,2.07E-04,1.07E-04,9.31E-05,1.36E+01,1.06E-03,5.38E-04,0.00E+00,0.00E+00,---,
Central kinetochore subunit IML3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IML3 PE=1 SV=1,IML3 MCM19 YBR107C YBR0836,P38265,5.12,245,28066.27,0,0,Nucleus. Chromosome â€º centromere â€º kinetochore. ,"ascospore formation; cell division; condensed nuclear chromosome outer kinetochore; establishment of meiotic sister chromatid cohesion; establishment of mitotic sister chromatid cohesion; maintenance of meiotic sister chromatid cohesion; meiotic sister chromatid segregation; protein localization to chromosome, centromeric region",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.21E-05,9.02E-05,5.32E-04,3.01E-04,9.79E-02,0.00E+00,0.00E+00,5.62E-04,1.18E-04,0.00E+00,1.02E-04,8.81E-05,5.78E-04,3.12E-04,1.76E-01,
Protein NBA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NBA1 PE=1 SV=1,NBA1 YOL070C,Q08229,5.65,501,55923.3,0,0,Bud neck. Cytoplasm. ,cellular bud neck; cytoplasm,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,9.12E-05,2.94E-05,0.00E+00,2.14E-04,6.67E-05,0.00E+00,0.00E+00,---,1.21E-04,3.85E-05,0.00E+00,0.00E+00,---,
U6 snRNA-associated Sm-like protein LSm2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM2 PE=1 SV=1,LSM2 SMX5 SNP3 YBL026W YBL0425,P38203,7.84,95,11162.9,0,0,Nucleus. Cytoplasm. ,"RNA binding; U4/U6 x U5 tri-snRNP complex; U6 snRNP; cytoplasmic mRNA processing body; mRNA splicing, via spliceosome; nucleolus; rRNA processing; small nucleolar ribonucleoprotein complex; spliceosomal complex; tRNA processing",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.86E-03,1.71E-03,1.01E-04,1.74E-04,2.84E+01,1.51E-03,3.94E-04,1.91E-04,3.30E-04,7.93E+00,1.65E-03,1.15E-03,1.99E-04,1.73E-04,8.29E+00,
Uncharacterized protein YMR124W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR124W PE=1 SV=2,YMR124W YM8564.06,P39523,6.44,943,105913.74,0,0,0,cytoplasm,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,7.64E-05,7.77E-05,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00,9.94E-06,1.72E-05,0.00E+00,
Uncharacterized protein YOR020W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOR020W-A PE=4 SV=1,YOR020W-A,Q3E824,7.95,90,9617.69,0,0,Membrane; Single-pass membrane protein. ,integral to membrane; mitochondrion,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.84E-04,2.46E-04,2.04E-03,3.34E-04,1.39E-01,0.00E+00,0.00E+00,1.84E-03,5.77E-04,0.00E+00,1.33E-04,2.30E-04,2.30E-03,5.12E-04,5.78E-02,
Putative uncharacterized protein YIL169C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIL169C PE=1 SV=1,YIL169C YI9402.07C,P40442,4.33,995,97226.52,0,0,0,membrane; signal transducer activity,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.31E-04,8.64E-05,3.71E-04,6.60E-05,3.54E-01,3.61E-05,9.75E-07,3.58E-05,4.08E-05,1.01E+00,4.83E-05,5.55E-05,1.04E-04,1.79E-04,4.66E-01,
Ribosome assembly protein RRB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRB1 PE=1 SV=1,RRB1 YMR131C YM9553.07C,Q04225,4.48,511,57261.3,0,0,Nucleus. ,nucleolus; rRNA processing; ribosome biogenesis,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00,7.26E-05,3.46E-05,0.00E+00,0.00E+00,0.00E+00,1.10E-04,2.05E-06,0.00E+00,
Inner nuclear membrane protein HEH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEH2 PE=1 SV=1,HEH2 YDR458C D8035.2,Q03281,7.84,663,76376.74,0,0,Nucleus inner membrane; Single-pass membrane protein. ,integral to nuclear inner membrane; nuclear envelope,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,4.26E-05,4.33E-05,0.00E+00,0.00E+00,0.00E+00,2.67E-05,4.63E-05,0.00E+00,0.00E+00,0.00E+00,9.87E-05,6.46E-05,0.00E+00,
"Tryptophan--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WRS1 PE=1 SV=1",WRS1 YOL097C HRE432,Q12109,6.35,432,49350.33,6,0,Cytoplasm. ,ATP binding; cytoplasm; tryptophan-tRNA ligase activity; tryptophanyl-tRNA aminoacylation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,2.10E-05,3.65E-05,0.00E+00,5.48E-05,4.75E-05,6.54E-05,6.66E-05,8.38E-01,5.94E-05,1.03E-04,4.34E-05,3.76E-05,1.37E+00,
Intrastrand cross-link recognition protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IXR1 PE=1 SV=2,IXR1 ORD1 YKL032C YKL245,P33417,7.84,597,67856.11,0,0,Nucleus. ,"DNA repair; cellular response to hypoxia; damaged DNA binding; negative regulation of transcription from RNA polymerase II promoter; nucleus; sequence-specific DNA binding; transcription, DNA-dependent",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.28E-05,7.41E-05,4.63E-05,1.57E-06,9.24E-01,1.80E-04,4.87E-06,2.00E-04,2.54E-05,9.04E-01,1.42E-04,6.71E-05,4.65E-05,4.62E-05,3.05E+00,
Phosphopantothenoylcysteine decarboxylase subunit VHS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VHS3 PE=1 SV=1,VHS3 YOR054C YOR29-05,Q08438,4.48,674,73649.2,0,0,0,cell cycle; cellular monovalent inorganic cation homeostasis; coenzyme A biosynthetic process; phosphopantothenoylcysteine decarboxylase activity; phosphopantothenoylcysteine decarboxylase complex; protein phosphatase inhibitor activity,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,1.35E-05,2.34E-05,0.00E+00,0.00E+00,0.00E+00,4.16E-05,4.27E-05,0.00E+00,0.00E+00,0.00E+00,1.42E-05,2.45E-05,0.00E+00,
Negative cofactor 2 complex subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCB2 PE=1 SV=1,NCB2 YDR1 YDR397C,Q92317,4.89,146,16649.87,0,0,Nucleus. ,"negative cofactor 2 complex; negative regulation of transcription from RNA polymerase II promoter; positive regulation of transcription from RNA polymerase II promoter; sequence-specific DNA binding; transcription coactivator activity; transcription corepressor activity; transcription, DNA-dependent",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,4.37E-04,2.08E-04,0.00E+00,0.00E+00,0.00E+00,3.06E-04,2.79E-04,0.00E+00,2.58E-04,2.64E-04,5.77E-04,1.86E-04,4.47E-01,
Polyamine transporter 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPO3 PE=1 SV=1,TPO3 YPR156C P9584.7,Q06451,6.67,622,68065.76,0,0,Cell membrane; Multi-pass membrane protein. ,antiporter activity; fungal-type vacuole membrane; integral to membrane; plasma membrane; spermine transmembrane transporter activity,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,7.54E-05,7.00E-05,0.00E+00,1.94E-05,3.36E-05,5.76E-05,4.99E-05,3.37E-01,0.00E+00,0.00E+00,6.09E-05,5.27E-05,0.00E+00,
Mitochondrial import inner membrane translocase subunit TIM13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM13 PE=1 SV=1,TIM13 YGR181W G7157,P53299,8.38,105,11285.82,0,0,Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side. ,integral to membrane; metal ion binding; mitochondrial inner membrane; mitochondrial intermembrane space protein transporter complex; protein import into mitochondrial inner membrane; protein transporter activity,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.79E-04,2.27E-05,3.50E-04,1.47E-04,1.08E+00,1.14E-03,2.09E-04,3.41E-04,2.96E-04,3.34E+00,7.98E-04,8.58E-04,1.79E-04,3.09E-04,4.47E+00,
DER1-like family member protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DFM1 PE=1 SV=1,DFM1 YDR411C D9461.2,Q12743,9.63,341,38130.62,0,0,Endoplasmic reticulum membrane; Multi-pass membrane protein. ,ER-associated protein catabolic process; endoplasmic reticulum; endoplasmic reticulum membrane; endoplasmic reticulum unfolded protein response; integral to membrane,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.25E-04,2.97E-04,1.88E-04,1.98E-04,1.20E+00,1.41E-04,6.40E-05,1.12E-04,1.95E-04,1.25E+00,2.13E-04,1.01E-04,0.00E+00,0.00E+00,---,
DASH complex subunit SPC19 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPC19 PE=1 SV=1,SPC19 YDR201W,Q03954,4.77,165,18909.54,0,0,Nucleus. Cytoplasm â€º cytoskeleton â€º spindle. Chromosome â€º centromere â€º kinetochore. ,DASH complex; cell division; chromosome segregation; cytoplasm; microtubule nucleation; mitosis; mitotic spindle organization in nucleus; regulation of microtubule polymerization or depolymerization; spindle microtubule; spindle pole body; structural constituent of cytoskeleton,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7.77E-05,1.35E-04,2.25E-04,1.95E-04,3.46E-01,5.02E-04,3.16E-04,3.31E-04,2.84E-04,1.52E+00,2.91E-04,2.52E-04,1.13E-04,9.75E-05,2.58E+00,
Reduced viability upon starvation protein 167 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RVS167 PE=1 SV=1,RVS167 YDR388W D9509.8,P39743,5.77,482,52774.34,0,0,Cytoplasm â€º cytoskeleton. ,actin cortical patch; actin cortical patch localization; cytoskeletal protein binding; endocytosis; lipid tube assembly; mating projection tip,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,7.60E-05,3.11E-05,0.00E+00,0.00E+00,0.00E+00,7.59E-05,3.20E-05,0.00E+00,0.00E+00,0.00E+00,1.17E-04,6.05E-05,0.00E+00,
"Respiratory supercomplex factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCF2 PE=1 SV=1",RCF2 AIM38 YNR018W N3185,P53721,9.48,224,25344.12,0,0,Mitochondrion membrane; Multi-pass membrane protein. ,integral to mitochondrial inner membrane; mitochondrial respiratory chain complex IV; mitochondrial respiratory chain complex IV assembly; mitochondrial respiratory chain supercomplex,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.72E-04,2.97E-04,4.06E-05,7.03E-05,4.23E+00,4.28E-04,1.90E-04,2.05E-04,7.33E-05,2.09E+00,4.82E-04,4.26E-04,0.00E+00,0.00E+00,---,
"Cytochrome c oxidase-assembly factor COX23, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX23 PE=1 SV=1",COX23 YHR116W,P38824,5.48,151,16106.34,0,0,Cytoplasm. Mitochondrion intermembrane space. ,mitochondrial intermembrane space; mitochondrial respiratory chain complex assembly; mitochondrion,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,3.66E-04,1.24E-05,0.00E+00,0.00E+00,0.00E+00,4.87E-04,1.12E-04,0.00E+00,0.00E+00,0.00E+00,5.56E-04,1.76E-04,0.00E+00,
Protein GCY OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCY1 PE=1 SV=1,GCY1 GCY YOR120W O31567 YOR3269W,P14065,7.75,312,35079.16,1,0,Cytoplasm. ,D-xylose catabolic process; alditol:NADP+ 1-oxidoreductase activity; arabinose catabolic process; cellular response to oxidative stress; cytoplasm; glycerol dehydrogenase [NAD(P)+] activity; mRNA binding; nucleus,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.09E-05,7.09E-05,1.47E-04,4.72E-05,2.79E-01,0.00E+00,0.00E+00,8.59E-05,8.52E-05,0.00E+00,0.00E+00,0.00E+00,1.50E-04,1.04E-04,0.00E+00,
Mitochondrial biogenesis regulation protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MBR1 PE=1 SV=2,MBR1 YKL093W YKL440,P23493,6.02,339,36934.61,0,0,Mitochondrion. ,aerobic respiration; mitochondrion; response to stress,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.97E-04,7.32E-05,0.00E+00,0.00E+00,---,2.12E-04,5.72E-06,0.00E+00,0.00E+00,---,2.55E-04,7.42E-05,5.43E-05,9.40E-05,4.70E+00,
"Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDI1 PE=1 SV=1",NDI1 YML120C YM7056.06C,P32340,9.2,513,54252.36,1,0,Mitochondrion inner membrane; Peripheral membrane protein; Matrix side. ,"NADH dehydrogenase (ubiquinone) activity; NADH oxidation; chronological cell aging; flavin adenine dinucleotide binding; mitochondrial electron transport, NADH to ubiquinone; mitochondrial inner membrane; mitochondrial matrix; positive regulation of apoptotic process",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,1.45E-04,6.82E-05,0.00E+00,0.00E+00,0.00E+00,7.34E-05,8.62E-05,0.00E+00,7.02E-05,7.04E-05,8.97E-05,1.55E-04,7.83E-01,
Protein CAJ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAJ1 PE=1 SV=1,CAJ1 YER048C,P39101,5.63,391,44854.89,0,0,0,chaperone binding; nucleus; protein folding,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,1.38E-04,1.82E-04,0.00E+00,1.52E-04,5.09E-05,0.00E+00,0.00E+00,---,9.21E-05,9.24E-05,0.00E+00,0.00E+00,---,
